r	delta	kon	koff	rp	rd	6	7	8	r/delta	KD	beta	approx-ratio	(max-min)	fold	avg_I_1	avg_I_2	avg_I_3	avg_I_4
19.2981	0.167123	10	3000	10000	36	1	1	1	115.47243646894803	1300.0167122999999	277.49420718369004	0.39852100137330654	18.13833299999999	20.498969990309774	88.484119	101.33821	105.104587	106.622452
19.4122	0.862735	10	3000	10000	36	1	0	0	22.500767906715268	1300.0862735	272.2766700571729	0.06796658819270039	1.064935000000002	6.150616005907736	17.314282	18.217327	18.379217	18.344489
9.71266	0.726244	10	3000	10000	36	1	0	0	13.373824775144442	1300.0726244	273.28485439458495	0.03600000437100255	0.8937600000000003	10.006894743312449	8.931442	9.582866	9.610236	9.825202
2.84631	0.396932	10	3000	10000	36	1	0	0	7.170774843046163	1300.0396931999999	275.7484320931226	0.015655161994353878	0.5084529999999998	14.198405666259987	3.581057	4.006416	4.073998	4.08951
18.3156	0.71922	10	3000	10000	36	1	0	0	25.465921414866106	1300.0719219999999	273.3369396190878	0.07826315604406782	1.3908030000000018	7.025512942666229	19.796462	21.004613	21.157653	21.187265
19.1903	0.600494	10	3000	10000	36	1	1	0	31.957521640515978	1300.0600494	274.2203559875449	0.10116301606147418	2.3647849999999977	9.29042951615836	25.45399	27.139915	27.586013	27.818775
0.723876	0.768742	10	3000	10000	36	0	0	0	0.9416371162236484	1300.0768742	272.9701424650318	0.0005690936027189248	0.015549999999999994	12.82897450705387	0.12121	0.132366	0.13676	0.12967
18.6805	0.6205	10	3000	10000	36	1	1	0	30.105560032232066	1300.06205	274.07109405933835	0.09459585186947489	1.960631000000003	8.24514082247408	23.77923	25.397928	25.739861	25.523046
15.1572	0.676525	10	3000	10000	36	1	0	0	22.40449355160563	1300.0676525	273.6539659905076	0.06734526322230093	1.2809950000000008	7.5613571703343165	16.941337	18.049706	18.199747	18.222332
7.85062	0.600266	10	3000	10000	36	1	0	0	13.07856850129776	1300.0600266	274.2220580036222	0.03491100939654773	0.7769349999999999	9.058229116120355	8.577118	9.313807	9.354053	9.308198
3.43202	0.64426	10	3000	10000	36	1	0	0	5.327072920870456	1300.0644260000001	273.89403579169016	0.010265245249038372	0.3086190000000002	12.910535829551268	2.390443	2.623114	2.607551	2.699062
0.646339	0.270923	10	3000	10000	36	1	1	0	2.3856926137684873	1300.0270923	276.7029370330609	0.002900081795585407	0.15632800000000002	27.530096294052598	0.567844	0.677996	0.724172	0.719055
0.932966	0.114505	10	3000	10000	36	1	1	0	8.147818872538316	1300.0114505	277.89705286006273	0.018583218553549562	1.085928	32.409830678744456	3.350613	4.112098	4.436541	4.422752
16.4709	0.634501	10	3000	10000	36	1	1	0	25.958824335974256	1300.0634501	273.96673155176865	0.07986139146447001	1.6882340000000013	8.41162752297656	20.070242	21.457032	21.702385	21.758476
6.34882	0.856693	10	3000	10000	36	1	0	0	7.41084612574166	1300.0856693	272.3211410475704	0.016514373709025712	0.349653	8.687492949935724	4.024786	4.317772	4.374439	4.352137
0.698577	0.411708	10	3000	10000	36	1	0	0	1.6967778134017313	1300.0411708	275.6369382067988	0.0016271063189742245	0.082737	24.968313174476716	0.331368	0.383411	0.386539	0.414105
7.63735	0.696	10	3000	10000	36	1	1	0	10.973204022988506	1300.0696	273.50926531502074	0.02792263202108044	0.6488529999999999	9.444872317590788	6.869897	7.333827	7.51875	7.363699
