Protein Name,0,1,2,3,4
CD11a,1.0,1.0,1.0,7.0,1.0
pSHP2,1.0,1.0,1.0,1.0,1.0
CD96,1.0,1.0,7.0,7.0,1.0
pStat1,2.0,2.0,1.0,1.0,1.0
pSrc,1.0,1.0,7.0,7.0,7.0
pAMPK,6.0,1.0,1.0,0.0,6.0
CD94,0.0,1.0,1.0,1.0,1.0
pGSK,1.0,1.0,1.0,7.0,7.0
148,1.0,1.0,1.0,7.0,7.0
DNAM1,1.0,1.0,1.0,2.0,1.0
pStat5,2.0,1.0,7.0,7.0,4.0
CD107a,7.0,1.0,1.0,7.0,7.0
pAkt,0.0,1.0,1.0,1.0,7.0
pMAPKAPK2,1.0,2.0,1.0,1.0,2.0
NKG2D,7.0,1.0,7.0,6.0,1.0
CCR7,7.0,4.0,7.0,7.0,1.0
pNFkB,7.0,6.0,7.0,6.0,4.0
pRb,2.0,2.0,0.0,0.0,6.0
pErk12,1.0,1.0,7.0,6.0,7.0
pHis3,1.0,0.0,1.0,1.0,1.0
CD25,4.0,4.0,6.0,4.0,3.0
pMARCKS,3.0,6.0,3.0,7.0,7.0
pVav1,2.0,3.0,6.0,7.0,3.0
DNA1,1.0,2.0,1.0,2.0,2.0
DNA2,1.0,1.0,2.0,1.0,2.0
102,1.0,2.0,2.0,1.0,2.0
104,1.0,2.0,1.0,1.0,1.0
105,1.0,2.0,2.0,1.0,1.0
106,0.0,1.0,1.0,1.0,1.0
108,1.0,2.0,1.0,1.0,1.0
110,1.0,1.0,1.0,1.0,1.0
CD45,0.0,1.0,1.0,0.0,1.0
CRACC,1.0,1.0,1.0,1.0,1.0
p38,1.0,2.0,1.0,1.0,2.0
SAP,0.0,1.0,1.0,1.0,7.0
Ki67,1.0,2.0,1.0,1.0,1.0
2B4,7.0,6.0,7.0,7.0,7.0
DAP12,4.0,3.0,4.0,7.0,3.0
CD69,7.0,7.0,7.0,1.0,7.0
EAT2,7.0,7.0,7.0,7.0,7.0
cyclinB,0.0,0.0,0.0,0.0,0.0
p120cateni,0.0,7.0,1.0,2.0,1.0
pS6,7.0,1.0,2.0,1.0,7.0
cPARP,7.0,7.0,1.0,7.0,7.0
NKG2A,3.0,3.0,6.0,1.0,7.0
pCreb,7.0,7.0,7.0,7.0,8.0
