Protein Name,0,1,2,3,4
CD11a,1.0,1.0,1.0,7.0,1.0
pSHP2,1.0,1.0,1.0,1.0,1.0
CD96,1.0,1.0,7.0,1.0,1.0
pStat1,2.0,2.0,1.0,1.0,1.0
pSrc,1.0,1.0,7.0,7.0,6.0
pAMPK,6.0,1.0,1.0,0.0,6.0
CD94,1.0,1.0,1.0,1.0,1.0
pGSK,1.0,1.0,1.0,7.0,1.0
148,1.0,1.0,1.0,7.0,7.0
DNAM1,2.0,1.0,2.0,2.0,2.0
pStat5,2.0,2.0,7.0,6.0,6.0
CD107a,7.0,1.0,7.0,7.0,7.0
pAkt,6.0,1.0,1.0,1.0,7.0
pMAPKAPK2,0.0,1.0,1.0,1.0,1.0
NKG2D,7.0,1.0,0.0,7.0,1.0
CCR7,0.0,3.0,7.0,6.0,1.0
pNFkB,7.0,6.0,7.0,6.0,3.0
pRb,2.0,2.0,0.0,0.0,0.0
pErk12,2.0,1.0,7.0,7.0,7.0
pHis3,6.0,0.0,7.0,1.0,6.0
CD25,3.0,3.0,6.0,3.0,3.0
pMARCKS,3.0,6.0,6.0,7.0,7.0
pVav1,2.0,4.0,7.0,7.0,3.0
DNA1,2.0,2.0,1.0,2.0,2.0
DNA2,2.0,1.0,2.0,2.0,2.0
102,2.0,2.0,2.0,1.0,2.0
104,1.0,2.0,2.0,1.0,1.0
105,1.0,2.0,2.0,1.0,1.0
106,1.0,2.0,1.0,1.0,1.0
108,1.0,2.0,1.0,1.0,1.0
110,1.0,2.0,1.0,1.0,1.0
CD45,0.0,1.0,1.0,1.0,1.0
CRACC,2.0,1.0,1.0,1.0,1.0
p38,2.0,2.0,2.0,1.0,1.0
SAP,2.0,1.0,1.0,1.0,6.0
Ki67,0.0,1.0,1.0,1.0,1.0
2B4,7.0,6.0,7.0,7.0,7.0
DAP12,7.0,3.0,6.0,7.0,6.0
CD69,7.0,7.0,7.0,7.0,7.0
EAT2,7.0,7.0,7.0,7.0,6.0
cyclinB,0.0,0.0,0.0,0.0,0.0
p120cateni,2.0,1.0,2.0,2.0,1.0
pS6,6.0,1.0,1.0,1.0,7.0
cPARP,7.0,7.0,7.0,7.0,7.0
NKG2A,5.0,4.0,6.0,1.0,7.0
pCreb,4.0,7.0,7.0,6.0,7.0
