Protein Name,0,1,2,3,4
CD11a,6.0,0.0,7.0,0.0,7.0
pSHP2,1.0,1.0,1.0,1.0,1.0
CD96,1.0,1.0,6.0,1.0,1.0
pStat1,0.0,0.0,0.0,0.0,1.0
pSrc,0.0,6.0,7.0,0.0,6.0
pAMPK,6.0,6.0,0.0,0.0,6.0
CD94,0.0,0.0,0.0,0.0,1.0
pGSK,0.0,1.0,1.0,1.0,6.0
148,1.0,1.0,1.0,6.0,6.0
DNAM1,0.0,0.0,1.0,1.0,1.0
pStat5,1.0,1.0,1.0,6.0,6.0
CD107a,0.0,1.0,1.0,6.0,6.0
pAkt,0.0,0.0,0.0,0.0,6.0
pMAPKAPK2,0.0,1.0,0.0,0.0,1.0
NKG2D,6.0,0.0,6.0,7.0,6.0
CCR7,7.0,7.0,6.0,7.0,1.0
pNFkB,7.0,1.0,7.0,4.0,3.0
pRb,1.0,0.0,0.0,0.0,1.0
pErk12,7.0,2.0,1.0,6.0,7.0
pHis3,8.0,2.0,8.0,4.0,4.0
CD25,3.0,4.0,4.0,3.0,3.0
pMARCKS,3.0,7.0,4.0,6.0,3.0
pVav1,7.0,6.0,6.0,3.0,4.0
DNA1,1.0,0.0,1.0,1.0,2.0
DNA2,0.0,1.0,1.0,1.0,2.0
102,1.0,1.0,2.0,1.0,2.0
104,0.0,1.0,1.0,1.0,2.0
105,0.0,0.0,0.0,0.0,2.0
106,0.0,0.0,0.0,0.0,1.0
108,0.0,0.0,0.0,0.0,1.0
110,0.0,1.0,0.0,0.0,1.0
CD45,0.0,0.0,0.0,0.0,1.0
CRACC,0.0,0.0,0.0,0.0,1.0
p38,0.0,0.0,0.0,0.0,0.0
SAP,0.0,0.0,0.0,0.0,0.0
Ki67,0.0,0.0,0.0,0.0,0.0
2B4,6.0,7.0,7.0,4.0,7.0
DAP12,7.0,4.0,4.0,4.0,3.0
CD69,7.0,7.0,4.0,7.0,7.0
EAT2,7.0,7.0,3.0,6.0,3.0
cyclinB,6.0,0.0,0.0,0.0,0.0
p120cateni,6.0,0.0,1.0,1.0,1.0
pS6,7.0,2.0,1.0,7.0,3.0
cPARP,6.0,7.0,2.0,8.0,4.0
NKG2A,3.0,3.0,3.0,3.0,3.0
pCreb,6.0,7.0,7.0,7.0,6.0
