Protein Name,0,1,2,3,4
CD11a,1.0,0.0,0.0,1.0,7.0
pSHP2,0.0,0.0,0.0,1.0,0.0
CD96,1.0,1.0,1.0,1.0,1.0
pStat1,1.0,0.0,0.0,0.0,1.0
pSrc,0.0,0.0,0.0,1.0,6.0
pAMPK,0.0,0.0,0.0,0.0,6.0
CD94,0.0,0.0,0.0,0.0,1.0
pGSK,0.0,0.0,0.0,0.0,6.0
148,0.0,6.0,0.0,0.0,6.0
DNAM1,1.0,1.0,0.0,1.0,2.0
pStat5,2.0,2.0,1.0,7.0,6.0
CD107a,6.0,6.0,6.0,6.0,3.0
pAkt,6.0,0.0,6.0,6.0,6.0
pMAPKAPK2,0.0,0.0,0.0,0.0,0.0
NKG2D,1.0,6.0,7.0,1.0,1.0
CCR7,0.0,6.0,6.0,6.0,0.0
pNFkB,1.0,7.0,6.0,3.0,3.0
pRb,1.0,1.0,0.0,0.0,0.0
pErk12,2.0,7.0,2.0,7.0,1.0
pHis3,5.0,5.0,5.0,4.0,4.0
CD25,3.0,4.0,4.0,4.0,3.0
pMARCKS,4.0,3.0,4.0,4.0,4.0
pVav1,2.0,8.0,8.0,5.0,5.0
DNA1,1.0,0.0,0.0,2.0,2.0
DNA2,1.0,1.0,1.0,2.0,2.0
102,0.0,0.0,0.0,1.0,1.0
104,0.0,1.0,0.0,0.0,1.0
105,0.0,0.0,0.0,0.0,1.0
106,0.0,0.0,0.0,0.0,0.0
108,0.0,1.0,0.0,1.0,0.0
110,0.0,0.0,1.0,0.0,1.0
CD45,0.0,0.0,0.0,0.0,0.0
CRACC,1.0,1.0,1.0,1.0,2.0
p38,1.0,0.0,0.0,0.0,2.0
SAP,0.0,0.0,0.0,0.0,2.0
Ki67,0.0,0.0,0.0,0.0,0.0
2B4,1.0,7.0,7.0,4.0,4.0
DAP12,8.0,4.0,4.0,4.0,4.0
CD69,7.0,7.0,4.0,3.0,3.0
EAT2,7.0,7.0,6.0,3.0,3.0
cyclinB,0.0,0.0,0.0,0.0,6.0
p120cateni,2.0,7.0,1.0,2.0,2.0
pS6,7.0,7.0,7.0,4.0,3.0
cPARP,7.0,7.0,7.0,7.0,3.0
NKG2A,5.0,5.0,4.0,4.0,5.0
pCreb,7.0,4.0,7.0,4.0,8.0
