"Channel","FCS Filename","Population","Mean"
"CD107a","BC1_CT604_Ly49H_8min_CD45_cis-","G0","0.7338945687589968"
"CD107a","BC1_CT604_Ly49H_8min_CD45_cis-","G1","0.7733653732900523"
"CD107a","BC1_CT604_Ly49H_8min_CD45_cis-","S","0.6912040612071154"
"CD107a","BC1_CT604_Ly49H_8min_CD45_cis-","G2","0.7844853897129548"
"CD107a","BC1_CT604_Ly49H_8min_CD45_cis-","M","3.7863941378801917"
"CD107a","BC1_CT604_Ly49H_32min_CD45_cis-","G0","1.3537093215731368"
"CD107a","BC1_CT604_Ly49H_32min_CD45_cis-","G1","0.8461963511685997"
"CD107a","BC1_CT604_Ly49H_32min_CD45_cis-","S","1.1024264323310087"
"CD107a","BC1_CT604_Ly49H_32min_CD45_cis-","G2","1.0196430019248206"
"CD107a","BC1_CT604_Ly49H_32min_CD45_cis-","M","0.9078937043125431"
"CD107a","BC1_CT604_Ly49H_64min_CD45_cis-","G0","6.4916724544822"
"CD107a","BC1_CT604_Ly49H_64min_CD45_cis-","G1","1.4211947200191604"
"CD107a","BC1_CT604_Ly49H_64min_CD45_cis-","S","1.7659337968106612"
"CD107a","BC1_CT604_Ly49H_64min_CD45_cis-","G2","1.0308212519569768"
"CD107a","BC1_CT604_Ly49H_64min_CD45_cis-","M","1.9943335619237688"
"CD107a","BC1_CT604_Ly49H_128min_CD45_cis-","G0","7.136429703689341"
"CD107a","BC1_CT604_Ly49H_128min_CD45_cis-","G1","4.178205131804018"
"CD107a","BC1_CT604_Ly49H_128min_CD45_cis-","S","3.4527797221930827"
"CD107a","BC1_CT604_Ly49H_128min_CD45_cis-","G2","3.659556401865964"
"CD107a","BC1_CT604_Ly49H_128min_CD45_cis-","M","1.5597944166511297"
"CD107a","BC1_CT604_Ly49H_256min_CD45_cis-","G0","8.255536315435583"
"CD107a","BC1_CT604_Ly49H_256min_CD45_cis-","G1","3.493211839276667"
"CD107a","BC1_CT604_Ly49H_256min_CD45_cis-","S","3.2566479225025837"
"CD107a","BC1_CT604_Ly49H_256min_CD45_cis-","G2","2.808029058252937"
"CD107a","BC1_CT604_Ly49H_256min_CD45_cis-","M","1.9087074100971222"
"CD69","BC1_CT604_Ly49H_8min_CD45_cis-","G0","0.30465775910517473"
"CD69","BC1_CT604_Ly49H_8min_CD45_cis-","G1","0.2101084148315773"
"CD69","BC1_CT604_Ly49H_8min_CD45_cis-","S","0.18403704812652133"
"CD69","BC1_CT604_Ly49H_8min_CD45_cis-","G2","0.29343590624261773"
"CD69","BC1_CT604_Ly49H_8min_CD45_cis-","M","-0.16438342286094737"
"CD69","BC1_CT604_Ly49H_32min_CD45_cis-","G0","0.06876216310569123"
"CD69","BC1_CT604_Ly49H_32min_CD45_cis-","G1","0.11904769686142319"
"CD69","BC1_CT604_Ly49H_32min_CD45_cis-","S","0.09942159263310815"
"CD69","BC1_CT604_Ly49H_32min_CD45_cis-","G2","0.15786609683324337"
"CD69","BC1_CT604_Ly49H_32min_CD45_cis-","M","0.1942404297180474"
"CD69","BC1_CT604_Ly49H_64min_CD45_cis-","G0","0.14425623783312153"
"CD69","BC1_CT604_Ly49H_64min_CD45_cis-","G1","0.08634011554265852"
"CD69","BC1_CT604_Ly49H_64min_CD45_cis-","S","0.08508000366281772"
"CD69","BC1_CT604_Ly49H_64min_CD45_cis-","G2","0.2512389489320439"
"CD69","BC1_CT604_Ly49H_64min_CD45_cis-","M","-0.31511536488930386"
"CD69","BC1_CT604_Ly49H_128min_CD45_cis-","G0","0.47955667290183424"
"CD69","BC1_CT604_Ly49H_128min_CD45_cis-","G1","0.32451631308389756"
"CD69","BC1_CT604_Ly49H_128min_CD45_cis-","S","0.38338145149138575"
"CD69","BC1_CT604_Ly49H_128min_CD45_cis-","G2","0.4700209781739102"
"CD69","BC1_CT604_Ly49H_128min_CD45_cis-","M","0.050123124034143984"
"CD69","BC1_CT604_Ly49H_256min_CD45_cis-","G0","1.5310584700042185"
"CD69","BC1_CT604_Ly49H_256min_CD45_cis-","G1","1.1182281877746667"
"CD69","BC1_CT604_Ly49H_256min_CD45_cis-","S","1.4290661704018206"
"CD69","BC1_CT604_Ly49H_256min_CD45_cis-","G2","0.6804191932137424"
"CD69","BC1_CT604_Ly49H_256min_CD45_cis-","M","0.6016567754209973"
"pS6","BC1_CT604_Ly49H_8min_CD45_cis-","G0","2.095823550942364"
"pS6","BC1_CT604_Ly49H_8min_CD45_cis-","G1","2.4917894325347483"
"pS6","BC1_CT604_Ly49H_8min_CD45_cis-","S","1.9972462043876291"
"pS6","BC1_CT604_Ly49H_8min_CD45_cis-","G2","1.962017713429998"
"pS6","BC1_CT604_Ly49H_8min_CD45_cis-","M","1316.1269757197454"
"pS6","BC1_CT604_Ly49H_32min_CD45_cis-","G0","27.48641466161482"
"pS6","BC1_CT604_Ly49H_32min_CD45_cis-","G1","23.287507610712552"
"pS6","BC1_CT604_Ly49H_32min_CD45_cis-","S","42.865909900312346"
"pS6","BC1_CT604_Ly49H_32min_CD45_cis-","G2","20.193676218768815"
"pS6","BC1_CT604_Ly49H_32min_CD45_cis-","M","1144.8069071451823"
"pS6","BC1_CT604_Ly49H_64min_CD45_cis-","G0","296.6892079509795"
"pS6","BC1_CT604_Ly49H_64min_CD45_cis-","G1","144.604234641886"
