"Channel","FCS Filename","Population","Mean"
"CD107a","BC1_CT604_NKG2C_8min_CD45_cis-","G0_tot","0.7156839958911441"
"CD107a","BC1_CT604_NKG2C_8min_CD45_cis-","G1","0.8386277716328641"
"CD107a","BC1_CT604_NKG2C_8min_CD45_cis-","S","1.2326506001456787"
"CD107a","BC1_CT604_NKG2C_8min_CD45_cis-","G2","0.5191298087201619"
"CD107a","BC1_CT604_NKG2C_8min_CD45_cis-","M","0.3565516826762882"
"CD107a","BC1_CT604_NKG2C_32min_CD45_cis-","G0_tot","1.9337673134817426"
"CD107a","BC1_CT604_NKG2C_32min_CD45_cis-","G1","1.1943736718312934"
"CD107a","BC1_CT604_NKG2C_32min_CD45_cis-","S","1.2179158070551028"
"CD107a","BC1_CT604_NKG2C_32min_CD45_cis-","G2","1.1514999869489024"
"CD107a","BC1_CT604_NKG2C_32min_CD45_cis-","M","0.3156771887093782"
"CD107a","BC1_CT604_NKG2C_64min_CD45_cis-","G0_tot","6.570234409484062"
"CD107a","BC1_CT604_NKG2C_64min_CD45_cis-","G1","2.8726209845530644"
"CD107a","BC1_CT604_NKG2C_64min_CD45_cis-","S","3.000505648496527"
"CD107a","BC1_CT604_NKG2C_64min_CD45_cis-","G2","2.1405600509024847"
"CD107a","BC1_CT604_NKG2C_64min_CD45_cis-","M","0.3176016376998562"
"CD107a","BC1_CT604_NKG2C_128min_CD45_cis-","G0_tot","11.657388800257273"
"CD107a","BC1_CT604_NKG2C_128min_CD45_cis-","G1","5.010113911315467"
"CD107a","BC1_CT604_NKG2C_128min_CD45_cis-","S","5.251592912310382"
"CD107a","BC1_CT604_NKG2C_128min_CD45_cis-","G2","4.199014326364054"
"CD107a","BC1_CT604_NKG2C_128min_CD45_cis-","M","0.8423031358556314"
"CD107a","BC1_CT604_NKG2C_256min_CD45_cis-","G0_tot","7.333493893796282"
"CD107a","BC1_CT604_NKG2C_256min_CD45_cis-","G1","5.344849573984022"
"CD107a","BC1_CT604_NKG2C_256min_CD45_cis-","S","4.551513740343605"
"CD107a","BC1_CT604_NKG2C_256min_CD45_cis-","G2","5.268222935821796"
"CD107a","BC1_CT604_NKG2C_256min_CD45_cis-","M","1.0759312766604125"
"CD69","BC1_CT604_NKG2C_8min_CD45_cis-","G0_tot","0.36196041988190003"
"CD69","BC1_CT604_NKG2C_8min_CD45_cis-","G1","0.16070661813116247"
"CD69","BC1_CT604_NKG2C_8min_CD45_cis-","S","0.1894821989573525"
"CD69","BC1_CT604_NKG2C_8min_CD45_cis-","G2","0.22533256226293327"
"CD69","BC1_CT604_NKG2C_8min_CD45_cis-","M","-0.15937619282293222"
"CD69","BC1_CT604_NKG2C_32min_CD45_cis-","G0_tot","0.2685632252817969"
"CD69","BC1_CT604_NKG2C_32min_CD45_cis-","G1","0.13152094616992765"
"CD69","BC1_CT604_NKG2C_32min_CD45_cis-","S","0.11896320218050478"
"CD69","BC1_CT604_NKG2C_32min_CD45_cis-","G2","0.4125779813112327"
"CD69","BC1_CT604_NKG2C_32min_CD45_cis-","M","-0.1667443866841495"
"CD69","BC1_CT604_NKG2C_64min_CD45_cis-","G0_tot","0.2673791990075932"
"CD69","BC1_CT604_NKG2C_64min_CD45_cis-","G1","0.15610165354257072"
"CD69","BC1_CT604_NKG2C_64min_CD45_cis-","S","0.1020191468714219"
"CD69","BC1_CT604_NKG2C_64min_CD45_cis-","G2","0.2486177091757601"
"CD69","BC1_CT604_NKG2C_64min_CD45_cis-","M","-0.284346179320262"
"CD69","BC1_CT604_NKG2C_128min_CD45_cis-","G0_tot","0.7792444594204195"
"CD69","BC1_CT604_NKG2C_128min_CD45_cis-","G1","0.3432487147709488"
"CD69","BC1_CT604_NKG2C_128min_CD45_cis-","S","0.37497738640837547"
"CD69","BC1_CT604_NKG2C_128min_CD45_cis-","G2","0.5045542776415767"
"CD69","BC1_CT604_NKG2C_128min_CD45_cis-","M","-0.10652880201285536"
"CD69","BC1_CT604_NKG2C_256min_CD45_cis-","G0_tot","1.0581509442482717"
"CD69","BC1_CT604_NKG2C_256min_CD45_cis-","G1","0.7156869724955216"
"CD69","BC1_CT604_NKG2C_256min_CD45_cis-","S","0.7589024280453947"
"CD69","BC1_CT604_NKG2C_256min_CD45_cis-","G2","0.7653701351635839"
"CD69","BC1_CT604_NKG2C_256min_CD45_cis-","M","-0.01834235681841771"
"pS6","BC1_CT604_NKG2C_8min_CD45_cis-","G0_tot","2.154538662707439"
"pS6","BC1_CT604_NKG2C_8min_CD45_cis-","G1","2.477274108596366"
"pS6","BC1_CT604_NKG2C_8min_CD45_cis-","S","2.211637973983016"
"pS6","BC1_CT604_NKG2C_8min_CD45_cis-","G2","2.104000716031909"
"pS6","BC1_CT604_NKG2C_8min_CD45_cis-","M","1479.592724707819"
"pS6","BC1_CT604_NKG2C_32min_CD45_cis-","G0_tot","35.96889695146789"
"pS6","BC1_CT604_NKG2C_32min_CD45_cis-","G1","36.41086749268484"
"pS6","BC1_CT604_NKG2C_32min_CD45_cis-","S","45.55795254685569"
"pS6","BC1_CT604_NKG2C_32min_CD45_cis-","G2","32.03411776126524"
"pS6","BC1_CT604_NKG2C_32min_CD45_cis-","M","1632.6457794189453"
"pS6","BC1_CT604_NKG2C_64min_CD45_cis-","G0_tot","232.58793810845216"
"pS6","BC1_CT604_NKG2C_64min_CD45_cis-","G1","172.1307864447648"
"pS6","BC1_CT604_NKG2C_64min_CD45_cis-","S","229.5314448534516"
"pS6","BC1_CT604_NKG2C_64min_CD45_cis-","G2","168.32736194456498"
"pS6","BC1_CT604_NKG2C_64min_CD45_cis-","M","1430.5785710261418"
"pS6","BC1_CT604_NKG2C_128min_CD45_cis-","G0_tot","117.58915462709638"
"pS6","BC1_CT604_NKG2C_128min_CD45_cis-","G1","135.65415241769347"
"pS6","BC1_CT604_NKG2C_128min_CD45_cis-","S","156.42853113092303"
"pS6","BC1_CT604_NKG2C_128min_CD45_cis-","G2","150.6338695833983"
"pS6","BC1_CT604_NKG2C_128min_CD45_cis-","M","1751.841835715554"
"pS6","BC1_CT604_NKG2C_256min_CD45_cis-","G0_tot","5.154732597065112"
"pS6","BC1_CT604_NKG2C_256min_CD45_cis-","G1","14.297575176357743"
"pS6","BC1_CT604_NKG2C_256min_CD45_cis-","S","13.567296191419219"
"pS6","BC1_CT604_NKG2C_256min_CD45_cis-","G2","17.494327145120828"
"pS6","BC1_CT604_NKG2C_256min_CD45_cis-","M","1930.6961657206218"
