"Channel","FCS Filename","Population","Mean"
"CD107a","BC1_CT604_NKG2D_8min_CD45_cis-","G0","0.9412782493138205"
"CD107a","BC1_CT604_NKG2D_8min_CD45_cis-","G1","0.7108410086442557"
"CD107a","BC1_CT604_NKG2D_8min_CD45_cis-","S","0.8653939059455522"
"CD107a","BC1_CT604_NKG2D_8min_CD45_cis-","G2","1.0598932144244022"
"CD107a","BC1_CT604_NKG2D_8min_CD45_cis-","M","0.12864674584796795"
"CD107a","BC1_CT604_NKG2D_32min_CD45_cis-","G0","1.6590318505213766"
"CD107a","BC1_CT604_NKG2D_32min_CD45_cis-","G1","0.9939396447010225"
"CD107a","BC1_CT604_NKG2D_32min_CD45_cis-","S","1.4025972575619996"
"CD107a","BC1_CT604_NKG2D_32min_CD45_cis-","G2","1.2752537344942179"
"CD107a","BC1_CT604_NKG2D_32min_CD45_cis-","M","0.3973593422426627"
"CD107a","BC1_CT604_NKG2D_64min_CD45_cis-","G0","6.330167388420604"
"CD107a","BC1_CT604_NKG2D_64min_CD45_cis-","G1","2.0026741852254886"
"CD107a","BC1_CT604_NKG2D_64min_CD45_cis-","S","1.9550651554340943"
"CD107a","BC1_CT604_NKG2D_64min_CD45_cis-","G2","2.212464227267992"
"CD107a","BC1_CT604_NKG2D_64min_CD45_cis-","M","0.7962261761228243"
"CD107a","BC1_CT604_NKG2D_128min_CD45_cis-","G0","7.441107838564477"
"CD107a","BC1_CT604_NKG2D_128min_CD45_cis-","G1","3.727221220275742"
"CD107a","BC1_CT604_NKG2D_128min_CD45_cis-","S","3.8398629680964973"
"CD107a","BC1_CT604_NKG2D_128min_CD45_cis-","G2","4.595625571526499"
"CD107a","BC1_CT604_NKG2D_128min_CD45_cis-","M","0.4916395561562644"
"CD107a","BC1_CT604_NKG2D_256min_CD45_cis-","G0","10.49353713390454"
"CD107a","BC1_CT604_NKG2D_256min_CD45_cis-","G1","5.148958902748256"
"CD107a","BC1_CT604_NKG2D_256min_CD45_cis-","S","5.229346771989959"
"CD107a","BC1_CT604_NKG2D_256min_CD45_cis-","G2","7.496770836774105"
"CD107a","BC1_CT604_NKG2D_256min_CD45_cis-","M","1.8953387968575777"
"CD69","BC1_CT604_NKG2D_8min_CD45_cis-","G0","0.2610642234335968"
"CD69","BC1_CT604_NKG2D_8min_CD45_cis-","G1","0.20862495221586624"
"CD69","BC1_CT604_NKG2D_8min_CD45_cis-","S","0.19672024895687684"
"CD69","BC1_CT604_NKG2D_8min_CD45_cis-","G2","0.3693140090112381"
"CD69","BC1_CT604_NKG2D_8min_CD45_cis-","M","-0.16527133354773887"
"CD69","BC1_CT604_NKG2D_32min_CD45_cis-","G0","0.25882383116796354"
"CD69","BC1_CT604_NKG2D_32min_CD45_cis-","G1","0.13899488305386415"
"CD69","BC1_CT604_NKG2D_32min_CD45_cis-","S","0.12178722494451835"
"CD69","BC1_CT604_NKG2D_32min_CD45_cis-","G2","0.37092546912915536"
"CD69","BC1_CT604_NKG2D_32min_CD45_cis-","M","-0.27202118947528875"
"CD69","BC1_CT604_NKG2D_64min_CD45_cis-","G0","0.1265184252010335"
"CD69","BC1_CT604_NKG2D_64min_CD45_cis-","G1","0.15618072242714048"
"CD69","BC1_CT604_NKG2D_64min_CD45_cis-","S","0.1052661344719415"
"CD69","BC1_CT604_NKG2D_64min_CD45_cis-","G2","0.44522272055346546"
"CD69","BC1_CT604_NKG2D_64min_CD45_cis-","M","-0.31818772650634247"
"CD69","BC1_CT604_NKG2D_128min_CD45_cis-","G0","0.3962306061695362"
"CD69","BC1_CT604_NKG2D_128min_CD45_cis-","G1","0.3871054342179794"
"CD69","BC1_CT604_NKG2D_128min_CD45_cis-","S","0.36622195045914974"
"CD69","BC1_CT604_NKG2D_128min_CD45_cis-","G2","0.7492779919231376"
"CD69","BC1_CT604_NKG2D_128min_CD45_cis-","M","-0.07213671540806967"
"CD69","BC1_CT604_NKG2D_256min_CD45_cis-","G0","0.8535474188392982"
"CD69","BC1_CT604_NKG2D_256min_CD45_cis-","G1","0.8380316104866032"
"CD69","BC1_CT604_NKG2D_256min_CD45_cis-","S","1.1081293748585213"
"CD69","BC1_CT604_NKG2D_256min_CD45_cis-","G2","2.2020605626754794"
"CD69","BC1_CT604_NKG2D_256min_CD45_cis-","M","-0.17603870277265227"
"pS6","BC1_CT604_NKG2D_8min_CD45_cis-","G0","3.7018316140685394"
"pS6","BC1_CT604_NKG2D_8min_CD45_cis-","G1","3.0501092375743726"
"pS6","BC1_CT604_NKG2D_8min_CD45_cis-","S","1.8632282068784425"
"pS6","BC1_CT604_NKG2D_8min_CD45_cis-","G2","2.294456006937493"
"pS6","BC1_CT604_NKG2D_8min_CD45_cis-","M","1499.769978384559"
"pS6","BC1_CT604_NKG2D_32min_CD45_cis-","G0","20.679328146198554"
"pS6","BC1_CT604_NKG2D_32min_CD45_cis-","G1","16.502473921560206"
"pS6","BC1_CT604_NKG2D_32min_CD45_cis-","S","19.456739939434836"
"pS6","BC1_CT604_NKG2D_32min_CD45_cis-","G2","12.009143602793694"
"pS6","BC1_CT604_NKG2D_32min_CD45_cis-","M","1406.5338839017427"
"pS6","BC1_CT604_NKG2D_64min_CD45_cis-","G0","328.4877302129155"
"pS6","BC1_CT604_NKG2D_64min_CD45_cis-","G1","113.26289257138387"
"pS6","BC1_CT604_NKG2D_64min_CD45_cis-","S","122.59326624487169"
"pS6","BC1_CT604_NKG2D_64min_CD45_cis-","G2","96.90814950324602"
"pS6","BC1_CT604_NKG2D_64min_CD45_cis-","M","1546.5819765726726"
"pS6","BC1_CT604_NKG2D_128min_CD45_cis-","G0","241.40798177152615"
"pS6","BC1_CT604_NKG2D_128min_CD45_cis-","G1","131.00952519046172"
"pS6","BC1_CT604_NKG2D_128min_CD45_cis-","S","147.85380538372954"
"pS6","BC1_CT604_NKG2D_128min_CD45_cis-","G2","150.6536824899552"
"pS6","BC1_CT604_NKG2D_128min_CD45_cis-","M","1466.3420343752261"
"pS6","BC1_CT604_NKG2D_256min_CD45_cis-","G0","6.333195564498397"
"pS6","BC1_CT604_NKG2D_256min_CD45_cis-","G1","23.010732261641394"
"pS6","BC1_CT604_NKG2D_256min_CD45_cis-","S","17.749936989351863"
"pS6","BC1_CT604_NKG2D_256min_CD45_cis-","G2","39.70438153919368"
"pS6","BC1_CT604_NKG2D_256min_CD45_cis-","M","1770.6560085922924"
