"Channel","FCS Filename","Population","Mean"
"CD107a","debarcode_IL2_PBS_CD56dim","G0","-0.40794923847877523"
"CD107a","debarcode_IL2_PBS_CD56dim","G1","-0.32290935426874806"
"CD107a","debarcode_IL2_PBS_CD56dim","S","-0.3032069766665237"
"CD107a","debarcode_IL2_PBS_CD56dim","G2-M","-0.20754173098635648"
"CD107a","debarcode_IL2_NKG2D_2min_CD56dim","G0","-0.4207840999499553"
"CD107a","debarcode_IL2_NKG2D_2min_CD56dim","G1","-0.3349645302968343"
"CD107a","debarcode_IL2_NKG2D_2min_CD56dim","S","-0.30678884440142085"
"CD107a","debarcode_IL2_NKG2D_2min_CD56dim","G2-M","-0.19783162700601647"
"CD107a","debarcode_IL2_NKG2D_4min_CD56dim","G0","-0.4217943821167914"
"CD107a","debarcode_IL2_NKG2D_4min_CD56dim","G1","-0.32852002543888165"
"CD107a","debarcode_IL2_NKG2D_4min_CD56dim","S","-0.27411835340442"
"CD107a","debarcode_IL2_NKG2D_4min_CD56dim","G2-M","-0.2247007547511053"
"CD107a","debarcode_IL2_NKG2D_8min_CD56dim","G0","-0.45112714380098834"
"CD107a","debarcode_IL2_NKG2D_8min_CD56dim","G1","-0.3311786460310207"
"CD107a","debarcode_IL2_NKG2D_8min_CD56dim","S","-0.19098752691045354"
"CD107a","debarcode_IL2_NKG2D_8min_CD56dim","G2-M","-0.20286559231199353"
"CD107a","debarcode_IL2_NKG2D_16min_CD56dim","G0","-0.41771775088955304"
"CD107a","debarcode_IL2_NKG2D_16min_CD56dim","G1","-0.32881492748283375"
"CD107a","debarcode_IL2_NKG2D_16min_CD56dim","S","-0.2954912049501468"
"CD107a","debarcode_IL2_NKG2D_16min_CD56dim","G2-M","-0.22149968144196994"
"CD107a","debarcode_IL2_NKG2D_32min_CD56dim","G0","-0.39694866682820484"
"CD107a","debarcode_IL2_NKG2D_32min_CD56dim","G1","-0.31577088089925914"
"CD107a","debarcode_IL2_NKG2D_32min_CD56dim","S","-0.29291233586849913"
"CD107a","debarcode_IL2_NKG2D_32min_CD56dim","G2-M","-0.15628155265027888"
"CD107a","debarcode_IL2_NKG2D_64min_CD56dim","G0","0.6214913411247085"
"CD107a","debarcode_IL2_NKG2D_64min_CD56dim","G1","-0.10745755691062601"
"CD107a","debarcode_IL2_NKG2D_64min_CD56dim","S","-0.026563640461792073"
"CD107a","debarcode_IL2_NKG2D_64min_CD56dim","G2-M","0.3536950907945068"
"CD107a","debarcode_IL2_NKG2D_256min_CD56dim","G0","21.57880282321558"
"CD107a","debarcode_IL2_NKG2D_256min_CD56dim","G1","17.04232829253868"
"CD107a","debarcode_IL2_NKG2D_256min_CD56dim","S","19.34658397956176"
"CD107a","debarcode_IL2_NKG2D_256min_CD56dim","G2-M","10.734307238495806"
"CD69","debarcode_IL2_PBS_CD56dim","G0","25.068375138448488"
"CD69","debarcode_IL2_PBS_CD56dim","G1","43.13863764687513"
"CD69","debarcode_IL2_PBS_CD56dim","S","49.48172005780811"
"CD69","debarcode_IL2_PBS_CD56dim","G2-M","61.889010402218084"
"CD69","debarcode_IL2_NKG2D_2min_CD56dim","G0","30.02478419074055"
"CD69","debarcode_IL2_NKG2D_2min_CD56dim","G1","43.01653732679419"
"CD69","debarcode_IL2_NKG2D_2min_CD56dim","S","48.547536749770835"
"CD69","debarcode_IL2_NKG2D_2min_CD56dim","G2-M","54.59659696616287"
"CD69","debarcode_IL2_NKG2D_4min_CD56dim","G0","20.692498811147605"
"CD69","debarcode_IL2_NKG2D_4min_CD56dim","G1","35.98193697859499"
"CD69","debarcode_IL2_NKG2D_4min_CD56dim","S","40.51854099725761"
"CD69","debarcode_IL2_NKG2D_4min_CD56dim","G2-M","47.78825726792519"
"CD69","debarcode_IL2_NKG2D_8min_CD56dim","G0","32.59147805375506"
"CD69","debarcode_IL2_NKG2D_8min_CD56dim","G1","42.405780401698344"
"CD69","debarcode_IL2_NKG2D_8min_CD56dim","S","44.992334877241355"
"CD69","debarcode_IL2_NKG2D_8min_CD56dim","G2-M","52.14910769628621"
"CD69","debarcode_IL2_NKG2D_16min_CD56dim","G0","23.607284110772447"
"CD69","debarcode_IL2_NKG2D_16min_CD56dim","G1","37.2812784470101"
"CD69","debarcode_IL2_NKG2D_16min_CD56dim","S","39.826217530150856"
"CD69","debarcode_IL2_NKG2D_16min_CD56dim","G2-M","46.63330416170448"
"CD69","debarcode_IL2_NKG2D_32min_CD56dim","G0","22.731784701419773"
"CD69","debarcode_IL2_NKG2D_32min_CD56dim","G1","33.44550599329841"
"CD69","debarcode_IL2_NKG2D_32min_CD56dim","S","35.929434870777044"
"CD69","debarcode_IL2_NKG2D_32min_CD56dim","G2-M","45.24163872907012"
